T,D,P
馴染,익숙함,なじみ
一人,혼자,ひとり
実感,실감,じっかん
理由,이유,りゆう
特別,특별,とくべつ
一時,일시,いちじ
負担,부담,ふたん
十分,충분,じゅうぶん
重要,중요,じゅうよう
以外,이외,いがい
判断,판단,はんだん
解析,해석,かいせき
語尾,어미,ごび
孤独,고독,こどく
使用,사용,しよう
文脈,문맥,ぶんみゃく
語順,어순,ごじゅん
成立,성립,せいりつ
模索,모색,もさく
単純,단순,たんじゅん
用語,용어,ようご
以下,이하,いか
専門的,전문,せんもん
今見直,재검토,いまみなおし
方向性,방향성,ほうこうせい
直接的,직접,ちょくせつ
概念語,개념어,かいがいねんご
最近読,최근읽(은),さいきんどく
本質的,본질,ほんしつ
接続詞,접속사,せつぞくし
第一歩,첫걸음,だいいっぽ
論理的,논리,ろんり
能動的,능동,のうどう
読解力,독해력,どっかいりょく
抽象語,추상어,ちゅうしょうご
好奇心,호기심,こうきしん
分析文,분석문,ぶんせきぶん
丁寧体,존댓말,ていねいたい
難易度,난이도,なんいど
教科書,교과서,きょうかしょ
日本語,일본어,にほんご
最適化,최적화,さいてきか
補助的,보조,ほじょ
大丈夫,괜찮음,だいじょうぶ
一部含,일부(를)포(함),いちぶふく
達成感,성취감,たっせいかん
可能性,가능성,かのうせい
今日言,오늘,きょうげん
今日覚,오늘,きょうおぼ
結局始,결국시(작),けっきょくはじ
単語覚,단어암(기),たんごおぼ
文構造,문(장)구조,ぶんこうぞう
論理性,논리성,ろんりせい
対話用,대화용,たいわよう
不明確,불명확,ふめいかく
関係詞,관계사,かんけいし
正確性,정확성,せいかくせい
一番自然,가장자연(스러움),いちばんしぜん
長文構造,장문구조,ちょうぶんこうぞう
判断材料,판단재료,はんだんざいりょう
比較的短,비교적 짧(은),ひかくてきみじか
焦点語彙,초점어휘(중심어휘),しょうてんごい
日本語力,일본어능력,にほんごりょく
一生懸命,열심히,いっしょうけんめい
論理構造,논리구조,ろんりこうぞう
文法構造,문법구조,ぶんぽうこうぞう
最近一人,최근혼자,さいきんひとり
内容構造,내용구조,ないようこうぞう
抽象表現,추상표현,ちゅうしょうひょうげん
一語一語,단어 하나하나,いちごいちご
日本語学習者,일본어학습자,にほんごがくしゅうしゃ
論理的接続,논리적 연결,ろんりてきせつぞく
